ID,user_id,confidence,predicted_intensity,community,district,prediction_time,indicator,indicator_description,time_observed,Target,forecast_length
ID_KwcTp_12,11,0.3,0.0,Tumfa ,atiwa_west,2025-05-30 11:09:33,,,,MEDIUMRAIN,12
ID_K9vWT_12,17,0.3,0.0,Kwabeng ,atiwa_west,2025-05-30 11:09:35,,,,HEAVYRAIN,12
ID_AIQg3_12,19,0.3,0.0,Akropong,atiwa_west,2025-05-30 11:09:47,,,,MEDIUMRAIN,12
ID_px4yf_12,23,0.3,0.0,Asamama,atiwa_west,2025-05-30 11:16:33,,,,HEAVYRAIN,12
ID_QYYmK_12,23,0.3,0.0,Asamama,atiwa_west,2025-05-30 11:16:55,,,,HEAVYRAIN,12
ID_mSclI_12,24,0.3,0.0,Akwaduuso ,atiwa_west,2025-05-30 11:23:30,,,,HEAVYRAIN,12
ID_tFi02_12,24,0.3,0.0,Akwaduuso ,atiwa_west,2025-05-30 11:23:31,,,,HEAVYRAIN,12
ID_5mWdB_12,24,0.3,0.66,Akwaduuso ,atiwa_west,2025-05-30 11:23:32,heat,,,HEAVYRAIN,12
ID_DstGA_12,24,0.3,0.0,Akwaduuso ,atiwa_west,2025-05-30 11:23:33,,,,HEAVYRAIN,12
ID_TwhLb_12,23,0.6,0.33,Asamama,atiwa_west,2025-05-30 11:23:50,heat,,,HEAVYRAIN,12
ID_fDYKM_12,19,0.3,0.0,Akropong,atiwa_west,2025-05-30 11:31:27,,,,MEDIUMRAIN,12
ID_N4KD6_12,19,0.3,0.0,Akropong,atiwa_west,2025-05-30 11:31:28,,,,MEDIUMRAIN,12
ID_HHpvt_12,20,0.6,1.0,akwaduuso  ,assin_fosu,2025-05-30 11:37:19,heat,,,HEAVYRAIN,12
ID_W8vbP_12,20,0.6,1.0,akwaduuso  ,assin_fosu,2025-05-30 11:37:20,heat,,,HEAVYRAIN,12
ID_kEJSJ_12,20,0.6,1.0,akwaduuso  ,assin_fosu,2025-05-30 11:37:21,sun,,,HEAVYRAIN,12
ID_66XoQ_12,19,0.6,1.0,Akropong,atiwa_west,2025-05-30 11:46:59,clouds,,,MEDIUMRAIN,12
ID_SbR2S_12,11,1.0,1.0,Tumfa ,atiwa_west,2025-05-30 11:48:03,sun,,,MEDIUMRAIN,12
ID_Kk3x9_24,16,0.3,0.0,Banso ,atiwa_west,2025-06-01 19:05:56,,,,HEAVYRAIN,24
ID_O72SS_24,16,0.3,0.0,Banso ,atiwa_west,2025-06-01 19:05:57,,,,HEAVYRAIN,24
ID_htB4A_12,27,0.6,0.66,Akropong ,atiwa_west,2025-06-03 11:14:58,wind,,,SMALLRAIN,12
ID_1SxRC_12,27,0.6,0.0,Akropong ,atiwa_west,2025-06-03 11:15:00,,,,SMALLRAIN,12
ID_gtBTp_12,27,0.6,0.0,Akropong ,atiwa_west,2025-06-03 11:15:01,,,,SMALLRAIN,12
